code_bcm,name,status
5410152,Ankororoky,introuvable
2312290,Anolaka,introuvable
5402050,Anontsibe Sakalava,introuvable
5107030,Anosa (Ankiliabo),introuvable
1209510,Anosiarivo Manapa,introuvable
3317011,Anosibe An'Ala,introuvable
3314091,Anosibe Ifody,introuvable
1115170,Anosibe Trimoloharano,introuvable
4106032,Anosinalain'olona,introuvable
1117012,Anosizato Andrefana,introuvable
3203052,Antakotaka,introuvable
7210010,Antalaha CU,introuvable
1209430,Antanambao Ambary,introuvable
4106033,Antanambao Andranolava,introuvable
3107090,Antanambao Mahatsara,introuvable
3111010,Antanambao Manampotsy,introuvable
2312310,Antanambo,introuvable
1101001,Antananarivo I,introuvable
1101002,Antananarivo II,introuvable
1101003,Antananarivo III,introuvable
1101004,Antananarivo IV,introuvable
1101005,Antananarivo V,introuvable
1101006,Antananarivo VI,introuvable
1210230,Antanimasaka Tsaramiafara,introuvable
5216130,Antanimora Atsimo,introuvable
2513630,Antevato,introuvable
1312230,Antoby Est,introuvable
5104070,Antongo Vaovao,introuvable
4107030,Antongomena Bevary,introuvable
7119091,Antranokarany,introuvable
7216232,Antsaharavibe,introuvable
4421210,Antsaidoha Bebao,introuvable
7211310,Antsambaharo (Fir Andasibe),introuvable
1218230,Antsaontany,introuvable
1208001,Antsenakely Andraikiba,introuvable
4210110,Antsirabe Afovoany,introuvable
1208004,Antsirabe Afovoany A.,introuvable
7216310,Antsirabe Avaratra,introuvable
51209,ANTSIRABE SAHATANY,introuvable
3203132,Antsirabe Sahatany,introuvable
7118001,Antsirambazaha Hell-Ville,introuvable
7115001,Antsiranana Afovoany,introuvable
7115002,Antsiranana Andrefana,introuvable
7115003,Antsiranana Atsinanana,introuvable
4421150,Antsondrodava,introuvable
1305030,Arivonimamo Rural,introuvable
1305010,Arivonimamo Urbaine,introuvable
AU,Autres communes,introuvable
5317292,Beampombo II,introuvable
5106030,Beantake,introuvable
5317190,Beapombo I,introuvable
4421232,Bebaboka Sud,introuvable
5104110,Befandriana Atsimo,introuvable
4211050,Befotaka Avaratra,introuvable
5120358,Beheloke,introuvable
1210250,Behenjy Afovoany,introuvable
2522052,Bekofafa Sud,introuvable
5107170,Belafike Ambony,introuvable
1210130,Belambo Firaisana,introuvable
7212270,Belaoka Lokoho,introuvable
7212070,Belaoka Marovato,introuvable
5218170,Belindo Mahasoa,introuvable
4421170,Belitsaka,introuvable
5408179,Belo Mariny Ranomasina,introuvable
5410011,Belon'i Tsiribihina,introuvable
7119290,Bemaneviky Andrefana,introuvable
7119171,Bemaneviky Haut Sambirano,introuvable
7118004,Bemanondrobe,introuvable
5410012,Bemarivo-ankirondro,introuvable
