id,name,postal_code,commune_id/id
fokontany_1101004_005,Ouest Ambohijanahary IIIG/IIIM,101,commune_1101004
fokontany_1101004_006,Ouest Ambohijanahary IIIH/IIIO,101,commune_1101004
fokontany_1101004_007,Ouest Ankadimbahoaka,101,commune_1101004
fokontany_1101004_008,Ouest Mananjara,101,commune_1101004
fokontany_1101004_009,Angarangarana,101,commune_1101004
fokontany_1101004_010,Ankadilalana,101,commune_1101004
fokontany_1101004_011,Ankaditoho Marohoho,101,commune_1101004
fokontany_1101004_012,Ankazotoho Anosimahavelona,101,commune_1101004
fokontany_1101004_013,Ambohibarikely,101,commune_1101004
fokontany_1101004_014,Anosibe Ouest I,101,commune_1101004
fokontany_1101004_015,Anosibe Ouest II,101,commune_1101004
fokontany_1101004_016,Anosipatrana Ouest,101,commune_1101004
fokontany_1101004_017,Anosipatrana Est,101,commune_1101004
fokontany_1101004_018,Anosizato Est I,101,commune_1101004
fokontany_1101004_019,Anosizato Est II,101,commune_1101004
fokontany_1101004_020,Fiadanana III L,101,commune_1101004
fokontany_1101004_021,Fiadanana III N,101,commune_1101004
fokontany_1101004_022,Ilanivato Ampasika,101,commune_1101004
fokontany_1101004_023,Ivolaniray,101,commune_1101004
fokontany_1101004_024,Mahamasina Sud,101,commune_1101004
fokontany_1101004_025,Mananjara,101,commune_1101004
fokontany_1101004_026,Mandrangobato I,101,commune_1101004
fokontany_1101004_027,Mandrangobato II,101,commune_1101004
fokontany_1101004_028,Madera Namontana,101,commune_1101004
fokontany_1101004_029,Soanierana III I,101,commune_1101004
fokontany_1101004_030,Soanierana III J,101,commune_1101004
fokontany_1101004_031,Tsarafaritra,101,commune_1101004
fokontany_1101004_032,Tsimialonjafy,101,commune_1101004
fokontany_1101005_001,Ambatobe,101,commune_1101005
fokontany_1101005_002,Ambatokaranana,101,commune_1101005
fokontany_1101005_003,Ambatomainty,101,commune_1101005
fokontany_1101005_004,Ambatomaro,101,commune_1101005
